epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1493,1.70886,5.47089,0.97799,0,0,0,0,2.83712,5.43411,1.02584,0.0964,0.0004,0.0004
2,2.90494,2.02003,5.16467,0.9702,0,0,0,0,1.96605,5.09791,0.93836,0.0918978,0.000897773,0.000897773
3,3.69743,1.71884,4.21255,0.91076,0.03946,0.1128,0.03235,0.01927,1.58781,4.26243,0.8921,0.0873931,0.00139307,0.00139307
4,4.46234,1.36807,3.32148,0.86629,0.02738,0.15853,0.04579,0.02254,1.8537,3.76135,0.9179,0.0828859,0.00188589,0.00188589
5,5.31064,1.40716,2.93191,0.86156,0.03366,0.17232,0.06711,0.04072,1.58894,3.10567,0.89055,0.0783762,0.00237624,0.00237624
6,6.25338,1.24108,2.57211,0.85934,0.04298,0.2372,0.08124,0.04211,1.86057,2.81484,0.93604,0.0738641,0.00286411,0.00286411
7,7.27287,1.25615,2.41012,0.85855,0.09706,0.34365,0.1634,0.08131,1.66587,2.59608,0.90183,0.0693495,0.00334951,0.00334951
8,8.1891,1.22283,2.30756,0.85524,0.08914,0.32391,0.16473,0.08923,1.66202,2.6833,0.90455,0.0648324,0.00383243,0.00383243
9,9.09635,1.12222,2.15261,0.84091,0.12425,0.31161,0.18998,0.08897,1.95864,2.83514,0.93693,0.0603129,0.00431288,0.00431288
10,9.99058,1.09522,1.99449,0.84339,0.16491,0.49861,0.27459,0.14929,1.52576,2.33281,0.88689,0.0557909,0.00479085,0.00479085
11,11.424,1.18129,1.90106,0.84742,0.15198,0.38026,0.22088,0.11593,1.80433,3.21668,0.93722,0.0512663,0.00526635,0.00526635
12,12.8921,1.22883,1.84225,0.84875,0.18674,0.28175,0.19343,0.11089,1.55497,3.75168,0.90226,0.0467394,0.00573937,0.00573937
13,14.3623,1.22768,1.77658,0.8457,0.13551,0.12639,0.11239,0.05066,2.00959,6.16891,0.96563,0.0422099,0.00620992,0.00620992
14,16.1066,1.27156,1.7409,0.85248,0.08879,0.09815,0.07082,0.03643,2.00535,inf,1.0889,0.037678,0.00667799,0.00667799
15,17.256,1.09125,1.63176,0.84188,0.12812,0.21468,0.1714,0.09887,1.58578,inf,0.90365,0.0331436,0.00714359,0.00714359
16,18.1744,1.10429,1.54777,0.83628,0.19775,0.41766,0.28745,0.17016,1.59842,5.02835,0.89666,0.0286067,0.00760671,0.00760671
17,19.0476,1.08673,1.51203,0.8363,0.29387,0.47608,0.33014,0.21138,1.38506,4.16301,0.87598,0.0240674,0.00806736,0.00806736
18,19.9055,1.10116,1.45511,0.83054,0.30093,0.47482,0.33075,0.2026,1.49261,3.89018,0.88312,0.0195255,0.00852553,0.00852553
19,20.6935,1.09414,1.44429,0.83454,0.47467,0.46308,0.4156,0.25358,1.38383,2.33461,0.8695,0.0149812,0.00898123,0.00898123
20,21.6348,1.26078,1.46304,0.84703,0.34447,0.53198,0.432,0.25463,1.57248,4.15683,0.87339,0.0104345,0.00943445,0.00943445
21,22.4654,1.11513,1.39741,0.83469,0.44403,0.46627,0.40888,0.26849,1.2658,4.2726,0.84599,0.009505,0.009505,0.009505
22,23.3109,1.30175,1.39357,0.85065,0.41441,0.48634,0.3943,0.2493,1.364,4.08248,0.86318,0.00948025,0.00948025,0.00948025
23,24.0569,1.23714,1.3952,0.84567,0.54227,0.48391,0.52113,0.24575,1.89095,2.97909,0.9544,0.0094555,0.0094555,0.0094555
24,24.88,1.06082,1.26544,0.8311,0.33116,0.05381,0.05322,0.01213,3.5997,4.24478,1.59198,0.00943075,0.00943075,0.00943075
